,block_id,device_id,device_type,hardware_multiplier,operating_system,brand_name,connectivity_tier,processor,processor_quantity,status,total_score,normalized_score,rewarded,potl_minutes,potl_percentage,potl_success,potl_success_list,potl_label,pow_success,pow_success_list,pow_label
3476,2024-08-05 02:00:00+00:00,af0a8cbc-0f6f-4a6e-81a4-1d12078415af,gpu,10.0,Linux,NVIDIA,High Speed,H100 PCIe,8,Success,1600149.9999999998,11576.07524785309,5.21486259,60.0,100.0,True,{True},Success,True,{True},Success
3477,2024-08-05 02:00:00+00:00,75ba17bd-ddbe-40f9-8a49-0a6502653c5a,cpu,0.75,macOS,Apple,High Speed,M3 Pro,1,Success,15150.0,125.85722059073984,0.05669695,60.0,100.0,True,{True},Success,True,{True},Success
3478,2024-08-05 02:00:00+00:00,b0f19bd3-8864-4729-9584-030660cdbafc,gpu,0.25,Linux,NVIDIA,High Speed,GeForce RTX 4070,6,Success,30150.0,218.11621955614834,0.09825836,60.0,100.0,True,{True},Success,True,{True},Success
3479,2024-08-05 02:00:00+00:00,03897d6f-8666-4335-b735-2a33c243b2e9,gpu,5.0,Linux,NVIDIA,Ultra High Speed,A100 80GB PCIe,1,Success,100200.0,724.8837545448114,0.32655016,60.0,100.0,True,{True},Success,True,{True},Success
3480,2024-08-05 02:00:00+00:00,bb4e8816-9057-4b54-a503-aa091bc8d75c,gpu,0.25,Linux,NVIDIA,High Speed,GeForce RTX 3080,7,Success,35150.0,254.28806359531058,0.11455327,60.0,100.0,True,{True},Success,True,{True},Success
3481,2024-08-05 02:00:00+00:00,11191908-8156-4b02-b4c7-2e34cb24924e,gpu,0.75,Linux,NVIDIA,Ultra High Speed,L4,1,Success,15200.0,109.96240587905322,0.04953655,60.0,100.0,True,{True},Success,True,{True},Success
3482,2024-08-05 02:00:00+00:00,45aad0fb-0d68-4664-830c-8ee29d55284c,cpu,0.75,macOS,Apple,High Speed,M3 Pro,1,Success,15150.0,125.85722059073984,0.05669695,60.0,100.0,True,{True},Success,True,{True},Success
3483,2024-08-05 02:00:00+00:00,2e9208b0-357e-493f-8c75-3f913b8ef5e2,cpu,1.0,macOS,Apple,High Speed,M2 Max,1,Success,20150.0,167.39425708933388,0.07540881,60.0,100.0,True,{True},Success,True,{True},Success
3484,2024-08-05 02:00:00+00:00,b2ecb2ec-767f-4ec5-8855-84b195173343,gpu,0.25,Windows,NVIDIA,Medium Speed,GeForce RTX 3060,1,Success,5100.0,36.895280919945485,0.01662082,60.0,100.0,True,{True},Success,True,{True},Success
3485,2024-08-05 02:00:00+00:00,69f67d88-3a7a-419b-9e2b-b76192c9cb3f,gpu,0.75,Linux,NVIDIA,Medium Speed,GeForce RTX 4090,1,Success,15100.0,109.23896899826997,0.04921065,60.0,100.0,True,{True},Success,True,{True},Success
3486,2024-08-05 02:00:00+00:00,1319da82-e5d7-4eed-a04f-537fd7532846,gpu,0.75,Linux,NVIDIA,Ultra High Speed,L4,1,Success,15200.0,109.96240587905322,0.04953655,60.0,100.0,True,{True},Success,True,{True},Success
3487,2024-08-05 02:00:00+00:00,308946b8-4bc0-47aa-8ec4-cb8cba0bb1d5,gpu,0.5,Windows,NVIDIA,High Speed,GeForce RTX 3090,1,Success,10149.999999999998,73.42884339949934,0.03307868,60.0,100.0,True,{True},Success,True,{True},Success
3488,2024-08-05 02:00:00+00:00,70d53143-8796-4b95-bae0-416a7b9c3be8,cpu,0.75,macOS,Apple,High Speed,M2 Pro,1,Success,15150.0,125.85722059073984,0.05669695,60.0,100.0,True,{True},Success,True,{True},Success
3489,2024-08-05 02:00:00+00:00,0fd35220-daae-4a13-a7eb-8ffff114026f,cpu,0.75,macOS,Apple,Low Speed,M3 Pro,1,Success,15050.0,125.02647986076796,0.05632271,60.0,100.0,True,{True},Success,True,{True},Success
3490,2024-08-05 02:00:00+00:00,a81fc018-8a64-41cc-a944-15f6fbab3f6a,cpu,0.75,macOS,Apple,High Speed,M2 Pro,1,Success,15150.0,125.85722059073984,0.05669695,60.0,100.0,True,{True},Success,True,{True},Success
3491,2024-08-05 02:00:00+00:00,2ea3db6d-0e8b-466b-be37-82d222b58e53,gpu,0.75,Linux,NVIDIA,Medium Speed,Tesla V100S-PCIE-32GB,4,Success,60100.0,434.78556535073017,0.19586491,60.0,100.0,True,{True},Success,True,{True},Success
3492,2024-08-05 02:00:00+00:00,fbb5748a-6d62-4959-b4d0-aac696276137,gpu,0.75,Windows,NVIDIA,Medium Speed,GeForce RTX 4090,1,Success,15100.0,109.23896899826997,0.04921065,60.0,100.0,True,{True},Success,True,{True},Success
3493,2024-08-05 02:00:00+00:00,c5b31669-0063-47fb-ab41-de5a211ed022,gpu,0.75,Linux,NVIDIA,Medium Speed,GeForce RTX 4090,1,Success,15100.0,109.23896899826997,0.04921065,60.0,100.0,True,{True},Success,True,{True},Success
3494,2024-08-05 02:00:00+00:00,164c7be6-d400-48a9-8501-77ea422f5de9,cpu,0.5,macOS,Apple,Low Speed,M3,1,Success,10049.999999999998,83.48944336217394,0.03761085,60.0,100.0,True,{True},Success,True,{True},Success
3495,2024-08-05 02:00:00+00:00,d4cf340b-32b9-4ced-b36d-349c4bde2f3a,gpu,5.0,Linux,NVIDIA,Ultra High Speed,A100 80GB PCIe,1,Success,100200.0,724.8837545448114,0.32655016,60.0,100.0,True,{True},Success,True,{True},Success
3496,2024-08-05 02:00:00+00:00,c741d757-a8f2-4e2a-8fcd-824fe3821acf,gpu,0.25,Linux,NVIDIA,High Speed,GeForce RTX 3080,8,Failed,0.0,0.0,0.0,60.0,100.0,True,{True},Success,False,{False},Failed
3497,2024-08-05 02:00:00+00:00,9db9ce91-c0f7-4f38-9e4a-ddd99cfff188,gpu,0.25,Linux,NVIDIA,Medium Speed,GeForce RTX 3060 Ti,1,Success,5100.0,36.895280919945485,0.01662082,60.0,100.0,True,{True},Success,True,{True},Success
3498,2024-08-05 02:00:00+00:00,0d14c62e-03bb-47c5-9382-8135de635f85,gpu,0.25,Windows,NVIDIA,High Speed,GeForce RTX 3070,3,Success,15150.0,109.6006874386616,0.0493736,60.0,100.0,True,{True},Success,True,{True},Success
3499,2024-08-05 02:00:00+00:00,f62743f7-c30d-43f2-ae72-f93db23c4680,gpu,0.75,Linux,NVIDIA,Medium Speed,GeForce RTX 4090,5,Success,75100.0,543.3010974682169,0.24474967,60.0,100.0,True,{True},Success,True,{True},Success
3500,2024-08-05 02:00:00+00:00,62d3e346-391d-4856-b338-f8f4be6eb51c,cpu,0.75,macOS,Apple,High Speed,M2 Pro,1,Success,15150.0,125.85722059073984,0.05669695,60.0,100.0,True,{True},Success,True,{True},Success
